customer_message,americanair_reply
@AmericanAir Haha 😂 I'll show you HOW happy I am once I'm onboard &amp; I'm being taking care of even if it's on such early morning flight out of IAH 👍🏻,@197486 Will there be dancing involved? We'll need a pic of this.
@AmericanAir There is one problem: the entertainment system is broken so I have nothing to watch. This is disappointing. Flight A166,@481630 Please check with a crew member to see if we can get that reset for you.
"Has anyone ever missed a flight before?! I’m stuck in traffic, help 😭@AmericanAir","@739312 If you miss your flight, upon arrival at the airport, our agents will place you on standby for the next available one."
When you manage to get the perfect flight for Thanksgiving! Thanks @AmericanAir for all your help today  #missinghome,@737875 Our pleasure and we're happy to get you home for the holidays! We can't wait to have you on board.
@AmericanAir 3 passengers ignored now...tried turning call light on &amp; off a few times...no luck. Considering tapping out SOS in Morse code w/ call button,@482525 Our crew may be in preparation for landing. Please feel free to stop them when they pass by.
Flying back from LAX to JFK on @americanair after terrific client meetings in 1st - Fabulous!   Watching the last... https://t.co/sJkvOul3iV,@188393 That's a great way to end a great day! #Enjoy
@AmericanAir Technical snags understandable but ground staff being flat out rude not acceptable.,@141675 We expect our team to always provide the best service and we apologize for any rudeness. We'll be wheels up soon and have you on your way.
@AmericanAir @AmericanAir please get us home! We have work and school tomorrow.,@785236 We're showing this was delayed due to prior air traffic delays. You're estimated to depart at 9:30p.
after nearly 6 weeks of travelling the 🇺🇸 it's time to head back home to the 🇬🇧 @AmericanAir hope u continue the amazing experience I've had,@543088 We can't wait to have you on board and fly you across the pond to #homesweethome!
"Never flying @AmericanAir again, customer service desk wouldn't even look me in the eye and never even apologized.. said vague words instead","@403246 We always expect our team to be professional, we're very sorry for any rudeness you experienced during your travel with us."
@AmericanAir what a terrible flight &amp; what terrible customers service after I spoke with them about it! #worstairline #bye #neveragain,"@186631 What's up, Chris? We're here to help if you detail your record locator and a few details."
@AmericanAir Paid to move my flight up from DCA to Tulsa only to have cont’d delays so that I miss my one shot at getting back to my family tonight,"@304014 Please DM your record locator, we'd be happy to review all options with you."
@AmericanAir Thank you. Much appreciated.,@643867 No problem at all. Let us know if there's anything else we can do for you.
@AmericanAir Had I known I needed to take a shuttle to an additional terminal in LAX I would have added more time.  It was not noted at all.  Sad!,@121780 Our airport team will help get you on your way and take excellent care of you!
"@AmericanAir understand delays happen, but would be nice to get some water. Some of us have been sitting in the plane for almost two hours! #AA106","@784378 We're very sorry for the wait, John. Have you asked a crew member for some water?"
"@AmericanAir Why NO refund for tix to SXM for 12/14? Cat 5 Irma blew accommodations into the sea!  Emailed CEO 18 days ago, no response. :(","@303911 Karen, we've sent you a DM with additional information we know will make you happy."
"@AmericanAir just so you know - almost 10am at LAX, 50+ people waiting to check in. 2 counters open. Pathetic.",@456559 Our agents will do there best to work through the lines and get everyone checked in. We appreciate your patience.
@AmericanAir We had a blessed flight into DAY today. https://t.co/rQTRKKOmMJ,@683150 Right place at the right time with a perfect shot. You're blessed indeed! #whatAAview
The #BabyNiles chilling on @AmericanAir in domestic F! https://t.co/d4Jys5qrbX,"@126772 Thanks for sharing the cute pictures, Simon."
Tomorrow I’m only shopping for tires &amp; flight deals so @AmericanAir @Delta @JetBlue @2986 don’t disappoint me.,@751139 We're keeping our #WingsCrossed that you find some good deals.
"@AmericanAir Rolled from my PAID 1st class seat to coach saying I was late. Late somehow defined as standing politely in line waiting for other passengers to get on and apparently take my seat. #Executiveplatinum for 10 years enjoying Atl airport, g32 aa5114, 11/21 to Cleveland.",@286950 We're so sorry Duncan. Our agents work hard to get everyone boarded and seated in a timely manner.
@AmericanAir now tagging the correct profile. 😄 #mia #cnf #991 https://t.co/lCEiZmjziz,"@347428 We still have a few planes like that and since this is an overnight flight, most folks are sleeping."
"@AmericanAir love everyone’s costumes today! I have a Yoshi, Dalmatian, and just passed super girl!",@822382 Halloween is such a fun time! We're glad you're enjoying all the costumes.
It's been 72hrs since I left my iPad on @AmericanAir 622 at the @122128. I'm sick to my stomach over how impotent they are to help.,"@299029 We see our team is still trying to locate the item. Once we have more information, we'll let you know."
@AmericanAir Does status transfer?,@219797 AAdvantage Customer Service can help with all your questions about status matching at 800-882-8880 M-F 8a-7p CT.
"@AmericanAir actual quote ""we're sorry, our flight crew is worried you all will be angry at them so they don't want to fly"" -canceled flight","@435936 We're sorry for the inconvenience, Jake. Please follow and DM your record locator and we'll look at your rebooking options."
"@AmericanAir if I missed my flight this morning and was put on standby for a later flight, what time should I arrive at the airport to up my chances of getting on a sold-out flight? The earlier the better? Or is my name already on a list? #help 😔😔😔😣",@790998 You're on standby so the earlier the better.
Resv cancld b/c we missed bag check in by 3 mins. No 1 wanted 2 go above &amp; beyond for a family traveling w/twin tddlrs. Thanks @AmericanAir,@186256 Check in needs to be complete at least 45 min prior to departure. Please work with our airport team for assistance.
"@Americanair you all are the best! I can't say enough how much I #love #Flashshipfirst. Best seat ever! #aviation 
https://t.co/cY31iQM7aE",@316179 We're super happy to hear how much you enjoyed it. You were in for a treat tonight with yummy food and a great seat. #bff
Who wants to help me get home for Thanksgiving?? @SouthwestAir @AmericanAir @Delta?? Flights I'm finding are absolutely ridiculous.,"@490678 We'd love to have you on board, Abby. Our lowest fares can be found on our website here: https://t.co/iJWiiS4WLg."
"Who's ready for the weekend? For me since Monday: CID, ORD, PIT, PHO, SLC and DFW.
@AmericanAir get me home! https://t.co/k2LkqstbVv",@343535 It will be our pleasure to be your transportation this evening to the best destination ever! #homesweethome
"@AmericanAir continuing the day's trend of minimum competence: 2nd flt delayed due to ""maintenance issues"", no ETD until ""it's done"".",@424051 We dislike delays as much as you do and we're sorry that you've had more than your fair share.
.@AmericanAir would have a lot happier customers if they didn’t limit free upgrades for Gold Members. 1st class totally empty this morning. https://t.co/lhPyHPxWhB,@415675 Please check with our gate team for options to upgrade. They'll be glad to explore all options.
@AmericanAir no power on the 4.5 hour transcon to PHX today. You guys actually suck.,"@170318 Staying powered up in flight is important, Matt. We continue to update our planes and add ports to seats as quickly as we can."
Let it be known (since its apparent from Google that this is a rampant issue) that @AmericanAir will cancel your entire flight schedule if you don’t make it to the first one. Even though you’ve bought 2 flights - they’ll take them both away due to missing 1. #americanairlinessux,"@267140 We're sorry you missed your first flight, Rose. We're answering your DM."
"Well, my @AmericanAir flight out of @164688 is #DelAAyed. Would be nice if the @116988 lounge was open... but no dice! :(. https://t.co/PBKd9rupMZ","@404997 We're working to have you on your way, with an estimated time of 7:45p. Thanks for hanging in there, we're sorry for the wait."
"So @AmericanAir charges EXTRA to use your AAdvantage points. So basically, I'm being punished for earning. Last time I book with you #bye 👎🏼",@480589 Taxes do apply on award tickets. The only charge you would have would if it is booked less than 20 days.
Dear @AmericanAir your app is rejecting phone number as part of creating id.,"@496905 Would you mind sending us a DM with a screenshot and let us know the version of the app, along with the device you're using?"
"@AmericanAir Captain Murray is a great, great guy.  Before AA1264 left Dallas yesterday... https://t.co/fcmLGlWyMJ",@182413 Talking to a future pilot there! Captain Murray is #AAmazing and we'll send your kudos his way. #AATeam
"@AmericanAir TY  4 addressing my problems that arose during hurricane Irma. Professionally handled and impressed . Now, Forever loyal.",@294842 You're more than welcome! We can't wait to have you back on board again.
Robin at @AmericanAir #GoldReservations was wonderful this morning! Three flights going all directions-Thank you! 👍🏻 #customerservice ⭐️,@211026 That's wonderful to hear! Could you DM your record locator and we'll be sure to pass your kind words along? #AATeam
@AmericanAir is it possible to jump on that 7:30am flight to ORD?,@237402 You could try standing by for that flight Aaron. You can add yourself to the list on https://t.co/rZn1O8tOMy or at the airport.
@AmericanAir Yes! One of the pilots took them and then helped me w my bags! Above and beyond! https://t.co/XnVHBffiK9,@348918 A future pilot in the making maybe? We'd love to share you thanks and these great shots! Please DM your locator.
And then you guys will make me pay $25 to then check that bag instead of letting me put it over my seat. Absurd @AmericanAir https://t.co/0mdOqbLPQN,@550381 It sounds like you paid for Basic Economy. These are very restrictive and you must agree to them before we'll allow you to purchase it.
"I hate doing this. I hate arguing with these people. That’s why I booked my flight on .@AmericanAir tomorrow, Tuesday and Wednesday. Three round-trip flights 1st class ! @116450 will hopefully ‘get it.’ There are other airlines! https://t.co/WQJzVdMcfp","@503486 We're very excited to share the skies with you this week, Jimmy! Have a great rest of your weekend."
4 days &amp; @AmericanAir no respones  re: flight cancelled 4hrs B4 takeoff &amp; the 3+hr delay on my first #aa  #neveragain,"@529309 Did you contact our Customer Relations team? If so, please DM your reference number and record locator, we'll check on this."
Looking forward to heading to #NewYork in the morning for the first stop on our #HoneyMoon flying @AmericanAir from @1654 Then #Nashville #Memphis #NewOrleans and #Orlando 🗽✈🤗❤,"@540134 Congratulations, Gareth! It looks like you're going to have a great time on your honeymoon. So many AAmazing cities. We'll see you both soon"
@AmericanAir Just cooking. @AmericanAir ground crew doesn't seem to care. https://t.co/IPNhm4ep0Y,@218402 We do care and assure you that our ground crew will work as fast as they can to give everyone their bags.
"Poor customer service via email, very much rescued by the Twitter team. Thanks, hopefully this will be resolved soon! @AmericanAir https://t.co/tIBNFvAiua","@307365 We're always here to help, Pete. We want to resolve this for you quickly. Thanks for your patience."
@AmericanAir ... let me get this straight:I have two small carry ons. I get to the gate and ask if I need to check one. No. I go to board and told (by same person) I have to check one. $50. Flight is 2/3 full with tons of overhead space. I will avoid flying @AmericanAir. #badbiz,@689035 Sorry for any confusion. Sounds like you may have had a Basic Economy fare. Take a look here: https://t.co/MKvFFVWJdz
@494688 @AmericanAir Thanks to the gentleman behind the counter that let both ORD and DFW bound flights know the details of the delay. Love the information and how friendly he was. #safetravelseveryone,@619935 We're very glad hearing our team is keeping everyone updated! #AATeam
"@americanair are there any temperature restrictions for carry on pets, or is that only for checked pets?","@390623 The temperature restrictions apply only to check pets, Nick."
@AmericanAir @206281 And I know they went out of business but stalling 2 months to give miles is horrible #CustomerExperience,@577791 You'll need to work with our AAdvantage Customer Service team. They can be reached during business hours here: https://t.co/l7FeGMUy12.
Not the best end to a vacation - being served raw lukewarm beef at the start of my @AmericanAir flight and spending the second half of the flight feeling unwell and still not home 😟,@820555 Please let a crewmember know you aren't feeling so good. We'll have you home in no time for some sleep.
@AmericanAir @AmericanAir,"@394081 That would be upsetting, we understand. We ask that all confirmed customers be in the lounge at the 15 minute cut-off time."
So apparently @AmericanAir has decided to ruin the honeymoon of my cousin and his new wife!! Make this right American Airlines!!!,@266729 Please have the customer reach out to us directly. We can take a closer look at this for them.
@AmericanAir The FAs on Flight 4625 from BOS-JFK were stellar! Two lovely ladies who were nothing but friendly and pleasant and treated everyone as if they were in FC. Such a nice flight.,"@143786 Our #AATeam is so fantastic! Please DM your record locator, we'd like to forward this."
"@AmericanAir Just me, and the problem resolved itself after the safety video. Great flight!","@442235 Great news, Greg. We're so glad you enjoyed your flight."
@AmericanAir your crew on flight 4683 LGA&gt;XNA was top notch today. Great attitudes and very helpful on a busy Thanksgiving Day!!!,"@288212 Awesome to hear, Joy. We'll be sure to share your praises with our #AATeam."
@AmericanAir what happened lads? #aa4 #looptheloop no explanation from deck or crew https://t.co/X17xW5Im4Q,"@214010 We see you've arrived now, Robert. Sometimes are team has to take different routes for a variety of reasons."
"@AmericanAir Well, almost. Totally unacceptable. Stuck at runway for 45+ minutes. Driving the GW Bridge at rush hour is easier than this. AA1621 😤",@500091 We see you've taken off now and should be arriving soon. We appreciate your patience.
@AmericanAir - You might want to reach out to this (platinum) customer #CustomerService https://t.co/CXU4mQO1VG,"@663317 We appreciate your concern, Rob. We'll be glad to review this directly with him. Please have him contact us via DM so we can review this."
Jordan on @AmericanAir flt372 from Denver was the best. #GreatExperience #CustomerService,@714403 We have an awesome #AATeam! We can't wait to share your shout out with him!
Omg I’m sorry @AmericanAir I meant to tag @116450. Thank u so much @116450 for getting my friend home safe. Tell the captain and crew thank u @116450 thank u so much,@739310 No worries! We'll see you and your friend next time.
".@AmericanAir Lisa, the first-class flight attendant on 245 from DCA-LAX, was cheerful, friendly and thoughtful. She’s a winner",@346209 Thanks for the shout-out to our crew. We'll be sure to pass this on to our #AATeam.
@AmericanAir Dont understand poor communication and posting of unrealistic departure times that change every 15.  Flt 2375.,"@675197 We're working hard to get you in the air, Steve. Sorry for the delay."
@AmericanAir AA1763. Only 3 hours late! #improving,@420765 It's our goal to always depart on-time. We're so sorry for the delay today.
Has anyone else had any issues with the @AmericanAir app? I can’t check in for a flight tomorrow -.-,"@365616 Please follow and DM your record locator and we can check on it for you, Kassandra."
"Big shout out to @AmericanAir for literally stranding our flight (2281) in Omaha, no flights home, no car, no hotel voucher 👌🏼👏🏼",@377168 Our sincere apologies for the disruptions to your travels. Please work with our airport team for available options.
"As usual, shout out to @AmericanAir's total lack of customer care/service/basic social skills. It's been an absence of joy, as always.",@423237 What's going on? You're welcome to DM us your locator and details so we can take a look.
Thank you! @AmericanAir for refunding our honeymoon tickets to st barts even though it wasn’t required. You have a new regular customer.,"@326519 Oh no worries, as long as you're happy so are we."
@AmericanAir Your entire staff on flight 58 was warm and welcoming to my son and entire family great #CustomerService thank you :),@157255 We have the best crews around! We're so glad they took great care of you and your family. #AATeam
@AmericanAir explain to me how your app tells me I can't purchase a ticket but then I see that charge show up 4 times on my statement.......,"@655630 We'd like to check into this, Jordan. DM the ticket number that shows up on your statement. It should be 13 digits."
@AmericanAir #garycz flight AA3483 best service and humor on a trip in years.  @AmericanAir should have more on the team with this approach!,"@412796 This is fantastic news, and we're very happy Gary provided a great experience. We appreciate you and your loyalty, David! #AATeam"
I’m never flying with @AmericanAir ever again. Shits always delayed. If I don’t get home to my family quick y’all aboutta hear from me,@777290 On time flights are our favorite too. We'll have you safely in the air just as quickly as we can.
@AmericanAir *I* didn't miss anything- *you* schedule your flights to have no margin for late departures.,@163808 Our apologies for the disruptions to your travels as we know your time is valuable. We're glad to see you're now boarding.
"@AmericanAir I don’t get a free checked bag despite being a AAdvantage credit card holder. Because it was a “free” flight, free luggage doesn’t apply.",@608020 Expedite charges apply if you book an AAdvantage ticket within 21 days. Please DM your record locator and we'll check on the bag allotment.
@AmericanAir Claim was filed last night when the bag failed to arrive in Indy. Told it would arrive from Dallas into Indy on last flight Wed. It didn't,@414909 We're working hard to get this resolved.
@AmericanAir just a polite reminder that all your AAngels at BNA lounge are special.  They’re just wonderful. Terrell was the best today.,@217567 We love these kinds of reminders! We'll be sure to let the BNA AAngels know you said they are wonderful and special. #AATeam
@AmericanAir stole an Xbox One out of my suitcase and now they are telling me I can’t get reimbursed because I don’t have the receipt from 2013... oh and I can’t speak to a supervisor either. Think twice before you fly American Airlines 😡,@802669 We count on our team to follow up with our customers to ensure all reports are addressed. You can reach them at 800-866-4010 for more info.
"@AmericanAir especially since there's no reason you can't refund money if I don't get off the standby list, except desire to steal.",@288667 If we delayed you there shouldn't be an extra charge. Please DM us for a closer look.
"@AmericanAir guys, my HKG-LAX upgrade request for today is still pending after 3+ months; let’s do this, I’m 6’2” and 15hrs in coach could literally be the end of me 🙏🏻","@255207 We're not able to confirm the upgrade, but we've got our #WingsCrossed for you!"
@AmericanAir Thank you! I appreciate your response! It’s very different from what I got here at the airport!,@494442 You're very welcome.
@AmericanAir I want to be compensated for being inconvenienced. This is unacceptable.,@799256 Meet us in DM with your record locator once you arrive so we can take a closer look.
@AmericanAir Bummer. Especially when you pay the $36 for a window seat for a red eye and they reassign you to the back middle of the plane #sigh,"@537748 If you didn't sit in the same area that you purchased a seat in, then a refund for the seat will be issued."
@AmericanAir LAX*,"@240275 Hi Dorie, We can check on his flight. Please follow and DM his record locator and we'll take a look."
